global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14
4647.552965759663	n/a	n/a	21599748.56954144	3390.2000461365124	n/a	11493456.35282401	n/a	4403.066525984039	n/a	n/a	19386994.83224115	4299.734839240424	3251.9603979302024	n/a	n/a	n/a	n/a	-0.0474991123	-0.0206742749	-0.0781337591	-0.0329049539	0.0691862547	0.0639459286	0.0534767474	0.1416121518	-0.0438493457	-0.0158885248	-0.1300419933	0.0213875922	-0.0371938085	0.1659975222	-0.0217455674	0.0385210025	-0.0174873997	0.0351047808	-0.0084163559	0.0484696646	-0.075587683	0.0904104921	-0.1396434193	0.0121611701	-0.0294145416	0.0324867588	-0.0228799448	0.0029899562	-0.0402373346	0.0210425909	-0.0712926652	0.0026916584	-0.044106551	0.002377813	-0.0265283745	0.1054254794	0.0382915336	-0.0936073416	0.1137739297	-0.0699120966	0.0175760049	-0.0446429859	0.1219816479	-0.0211480776	0.00999082	0.0532403278	-0.1433605106	0.0845720343	-0.0986327504	0.0611890095	-0.0411303701	0.0349271496	-0.0485315735	0.0356614246	-0.0150199228	-0.0466416721	0.1337234519	-0.0054330092	0.048339742	-0.0169546007	0.0365695161	-0.0219217223	0.0877850532	-0.0203798834	0.0500902588	-0.0250102894	0.0151072026	0.0834265712	-0.0865260465	0.0513729135	-0.0611597404	0.0383306727	-0.0349423832	0.0444066026	-0.0418665936	0.0083000982	-0.033243717	0.1119056658	-0.0088010418	0.1054052417	0.105393201	0.1053731342	0.1053450429	0.0051676202951824	n/a	2.6704299515181032e-05	n/a	0.024876391330963	n/a	n/a	0.0006188348456512	0.1050465691063635	n/a	0.011034781681018	n/a	0.0060120360361366	n/a	3.614457729980508e-05	n/a	0.0001879986819999	n/a	n/a	3.5343504433699526e-08	-1.0651311327823309e-06	n/a	n/a	1.1345043300221717e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4623.632100486258	-23.92086527340416	572.2077954283532	21377973.80064697	3449.034448848748	58.83440271223572	11895838.629345387	3461.486942505529	4404.826619417473	1.7600934334341218	3.0979288944179157	19402497.547128763	4307.868365610246	3178.3251664995432	0.963138	16.87697	0.0366548395859362	0.0199458292875793	-0.0096993682	0.0087376872	-0.0715828285	-0.0135014919	0.017611801	-0.034152861	-0.1266730881	-0.0704572572	-0.0655042948	-0.0251227119	-0.0336550652	0.021204358	0.0258585211	0.0885000653	-0.0126869639	-0.0026859434	0.068340712	-0.0065323179	-0.0782448218	0.1982416751	-0.1003886713	0.1705226161	-0.0123201211	-0.0177087526	0.0358433043	0.1537482098	-0.0795933194	-0.0044754116	-0.0511199481	0.0310813352	0.0176975761	0.0563263769	-0.0798922673	-0.0820981459	-0.0268888584	0.0345224525	0.0059062744	-0.0150079032	0.0659637561	-0.0939657367	0.0160285173	-0.0408662302	0.1044111115	0.0561572381	0.1459086992	-0.1282400463	-0.0479637979	0.0970880563	-0.0680139021	-0.0657315679	0.0952310862	0.076706977	-0.07512911	0.0369641016	0.0137028219	-0.0445427505	0.1126852812	-0.0066630544	0.0219268196	0.0130289392	0.0221503541	0.0263511573	0.0567153746	0.0300960392	0.092228084	-0.0201784255	0.0513103762	0.0288989226	-0.1237154282	0.0578282376	0.0483800046	0.0369925134	-0.0089303984	0.0854472644	-0.042794444	-0.0192219887	0.0152342942	0.0695450835	-0.1058393385	0.1053731342	0.1052647956	0.1050843138	0.1048318124	0.0034799999557435	-0.0016876203394388	1.2110399691974765e-05	2.848062410087867e-06	0.0115907732112248	-0.0132856181197382	0.0001765076488235	0.000134346023634	0.1049186424547485	-0.0001279266516149	0.0110079215345473	1.63652281934252e-08	0.0057700263597664	-0.0002420096763701	3.3293204192399095e-05	5.8568683456808907e-08	0.0	-0.0001879986819999	3.5343504433699526e-08	0.0	0.0	1.0651311327823309e-06	1.1345043300221717e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4632.098068285144	8.465967798885686	71.67261077176934	21456332.51421096	3347.7732703167458	-101.2611785320023	11207585.86944728	10253.826277690045	4394.516432766709	-10.31018665076408	106.29994877359384	19311774.67785664	4290.402254612326	3141.1610741672403	1.016055	17.804234	0.0776109409736068	0.0417166493898316	0.0096785857	0.0254262405	-0.0929481452	0.061306531	0.0070967204	-0.1179721923	0.1205291968	-0.0369411655	0.0256764333	-0.0638039229	-0.1115789625	0.0257822179	0.0075716352	0.0626109186	0.0249157382	0.0868959295	-0.0458393581	0.0159177637	0.0243764956	6.4674e-06	-0.0533489203	0.0269982982	0.0453553507	-0.1499777764	0.0111299899	0.1929333679	0.0497973165	-0.0852399979	-0.0215354485	0.0288241241	-0.0987053813	-0.0806301621	-0.0139043557	0.1153216239	-0.0717534978	0.0941127295	0.0626595993	-0.0124785524	0.0902597291	0.0314136924	-0.0730953844	0.0396485355	0.0209139052	-0.0299122278	0.0435394988	-0.1406825284	-0.0007494646	-0.0052527652	-0.1113051793	-0.0290240396	-0.0511620303	0.0763467414	-0.0901023987	0.0782230958	-0.0597639662	-0.0435905333	0.1012779087	-0.0043698241	0.0287338023	0.0286458304	0.0211008624	0.0156684032	0.0476031818	-0.0093608465	-0.0303168481	0.0081901003	-0.0065038387	0.0663324617	-0.0398543047	-0.0522702366	-0.1358592597	-0.0149838191	0.0457605059	0.0631833883	-0.0161975806	0.0259446646	0.0411215293	0.0691376804	-0.0539402475	0.1053089291	0.1050081413	0.1045074645	0.1038078519	0.0035977775128088	0.0001177775570653	1.2944003031672676e-05	1.3871552948270009e-08	0.0172693777247872	0.0056786045135624	3.224654922145127e-05	0.0002982314070013	0.0795495222591426	-0.0253691201956059	0.0063281264916578	0.000643592259499	0.0051930239391049	-0.0005770024206614	2.6967497632116576e-05	3.3293179344923017e-07	0.0003499975780134	0.0003499975780134	1.2249830461524601e-07	1.2249830461524601e-07	-1.908775472564319e-06	-1.908775472564319e-06	3.643423804663139e-12	3.643423804663139e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4653.0513633447135	20.953295059569427	439.0405738533766	21650886.989924096	3454.2117080214603	106.43843770471447	11931578.523832534	11329.141021020389	4402.714573618327	8.198140851618518	67.2095134229764	19383895.616751213	4301.957361235035	3263.2965127458115	1.085219	19.016176	0.0601127243237559	0.0268402487272585	-0.0574232493	-0.0318124248	-0.0516747928	-0.0653631503	0.0377039031	0.035826306	-0.0621639411	-0.0241127625	0.0836850506	-0.0373276521	-0.0931426738	-0.0125825687	-0.0138015058	0.0496290996	-0.0551915524	0.116999627	0.015901531	-0.0212689	-0.0360999531	0.0986881705	0.0021906362	0.0456346849	-0.0961880854	-0.0632060886	-0.0150673165	0.0845132875	-0.0663121217	-0.0648694357	0.0602486324	-0.0829510641	-0.0349672333	0.0491890362	-0.0399456637	0.0047304628	-0.042037641	0.0811067912	0.0112186829	-0.0398493502	-0.0037144519	-0.0847791068	-0.0265401453	0.0359174686	0.1077072132	-0.0188927007	0.0439704453	0.0139884673	-0.0522537581	0.0687199568	-0.031089247	-0.0722588614	-0.0275121447	0.1041617438	-0.0473643617	0.1073093567	-0.0117234981	-0.0461760965	0.1178195535	0.0118635354	0.0437290616	-0.0086995203	-0.0024593343	-0.0443585318	0.075119188	0.0062746361	0.0819889278	0.0305163394	0.0482298474	0.0860415168	-0.0588077576	0.0506168923	0.0436498964	0.01071023	-0.0990200609	0.0327247502	-0.0069354561	-0.0080809088	-0.0139569868	-0.0169353623	-0.0833008277	0.1052126458	0.1046235507	0.1036441676	0.10227815	-0.0010297005630093	-0.0046274780758181	1.0602832494616691e-06	2.1413553342177183e-05	0.0368728284820889	0.0196034507573017	0.0003842952815939	0.0013596054802695	0.0860790460927205	0.0065295238335779	0.0074096021762327	4.2634681493261975e-05	0.0054494978132194	0.0002564738741144	2.9697026416283024e-05	6.577884810330022e-08	0.0002556409559562	-9.43566220572e-05	8.903172126045281e-09	6.53522983621998e-08	0.0002343061614969	0.0002362149369694	5.5797496447488e-08	5.4899377315411384e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4633.424936251975	-19.626427092738595	385.19664042658354	21468626.63988162	3417.249590571623	-36.96211744983748	11677594.764261924	1366.1981263755802	4396.07428620991	-6.640287408417862	44.09341686639281	19325469.129875965	4297.88923293738	3215.5862621775645	0.9926100000000002	17.393412	0.1077160686261648	0.0557800379436862	-0.0206116503	-0.0029953171	-0.0558698729	0.0095322863	-0.0351575608	-0.0188947876	-0.0664534587	0.0209804811	-0.01695237	-0.0576193574	-0.0391915189	0.0437430671	0.0151716209	-0.0245898197	0.0727319495	0.0118738471	0.0629117484	-0.0342273846	-0.0754806933	-0.0021495136	0.0505486175	-0.0438513218	0.0070486414	-0.0271307768	-0.0395893691	0.0245262377	0.0710134906	-0.0394445942	0.0516061215	0.0789924339	-0.0899263971	0.0617578956	0.0327043575	-0.0531943138	-0.0503660326	0.0356101694	0.0465564191	0.0275342263	-0.0117617432	-0.0098379945	0.0831008551	0.0664288129	0.0298737274	0.0291610288	-0.0181394335	-0.0148247187	0.0694137046	-0.0693314296	-0.0187486254	-0.0231084623	-0.0407417926	0.006925425	-0.0065579698	0.0021681398	-0.0183312409	-0.0328711293	0.0987416095	5.1789e-05	0.0337741048	0.0102417327	0.0010276836	0.0232433582	0.029447683	-0.0067641704	-0.030418786	0.0876543588	0.0501696677	0.0100135318	-0.0003082705	-0.0247445477	-0.0017511107	-0.01216775	0.0370992843	0.1061040322	0.0303032074	0.0223252752	0.0394342075	-0.0540083953	-0.0285961108	0.1050843138	0.1041114925	0.1024967892	0.1002501592	0.010059923673694	0.0110896242367033	0.0001012020643205	0.0001229797657112	0.0057816951196798	-0.0310911333624091	0.0009666585737591	3.342799845692921e-05	0.0538419430340439	-0.0322371030586766	0.0028989548296812	0.0010392308136157	0.0058760383799365	0.000426540566717	3.4527827042486765e-05	1.8193685505534476e-07	0.0002589974464559	3.356490499699979e-06	1.1266028474576216e-11	6.70796772706768e-08	-1.7609406538173812e-06	-0.0002360671021507	5.572767671783723e-08	3.100911986266786e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4663.239325179769	29.814388927794425	888.8977871377908	21745801.003903072	3402.709298080539	-14.54029249108362	11578430.567243757	211.42010572626268	4394.130373284007	-1.943912925902623	3.778797463491297	19308381.73741705	4289.169425799692	3227.7473984071594	1.083333	18.983141	0.1216510844065568	0.0877597745858292	-0.0442638201	-0.0104833393	-0.0557929446	-0.0334875481	0.0849476066	0.0665900944	0.0348774217	0.1773770292	-0.011076839	-0.0487205992	-0.1818140014	0.0758479126	-0.05088732	0.0992078784	-0.0327108746	0.0512516256	-0.0421786904	-0.0531116339	-0.1429280916	0.0443049129	-0.0998759635	-0.0335925452	-0.1746503665	-0.147993096	-0.0815157222	-0.1103710516	0.1881680429	0.0004959456	-0.1088341449	0.0832352497	-0.0354279882	-0.0579899956	0.0326685103	-0.0902859534	-0.0619892695	0.1371467394	0.1113589111	-0.1006654662	0.0420078852	-0.075846857	0.0037624501	-0.0464462576	0.1538593823	-0.0818451611	-0.0046880337	0.0058805915	-0.1658057129	-0.0779072523	-0.1087093793	0.014989436	-0.2282737156	0.0403289401	-0.0399938173	-0.1414568328	0.0248607822	-0.038900799	0.0902335612	0.0298316217	0.0268451021	-0.0199043972	0.0158769051	-0.0013545894	0.0056976409	0.0731259743	0.0786817081	0.048437578	-0.0133002926	0.0353499899	0.0233244552	-0.0121019561	-0.0707990956	-0.0287501624	0.0048909642	0.062662982	-0.0779301618	-0.008828949	-0.0542658091	0.0043803424	-0.0235838704	0.104923972	0.1034725904	0.1010684743	0.0977337597	0.0131475213358527	0.0030875976621587	0.0001728573172767	9.533259323367872e-06	0.0277690299018331	0.0219873347821532	0.0004834428908224	0.0007711190216889	0.0389035708417537	-0.0149383721922902	0.0015134878242393	0.0002231549637553	0.0042540125539958	-0.0016220258259406	1.8096622809553876e-05	2.6309677800186084e-06	0.0002489989926517	-9.998453804199996e-06	9.996907847472136e-11	6.200049834156134e-08	-1.029624999623717e-06	7.313156541936643e-07	5.348225860687071e-13	1.0601276398501392e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4677.831086880488	14.591761700718962	212.91950953056875	21882103.67738549	3467.1308218440654	64.42152376352624	12020996.135781104	4150.132724014576	4416.460880845358	22.330507561350714	498.6515679475414	19505126.71203735	4315.99630583619	3331.752902296489	0.941208	16.492699	0.0821791654377446	0.0361221948561333	-0.0899047524	-0.0568441642	-0.0247833838	-0.0951411188	0.0563741488	-0.0212555575	0.0390390422	0.0443880079	-0.0521161518	0.0244795021	-0.0599209667	-0.0638184351	-0.0863710198	0.1462482489	0.0242526407	-0.0254024182	-0.0588217469	-0.0053431087	-0.0326457315	0.0789153697	0.0068840822	0.0206751985	-0.0256014287	-0.1791838291	-0.0048083687	-0.0944616474	0.0233619166	-0.1373905652	0.0553594496	0.0225814484	0.0108481135	0.0216187528	0.0394722605	0.0578007503	0.0174298275	0.0578963849	-0.0384505366	-0.112704348	0.1091380229	0.0016723099	0.0272927875	-0.039543234	0.0252355608	-0.0370503055	0.0303858143	-0.0251880674	0.0307499276	0.0849982268	0.0599304825	-0.0485189797	-0.1545982107	0.1933435099	0.023530997	0.0140463076	-0.0595298999	-0.0276158198	0.0985001927	0.0344836033	0.0447331769	-0.0538023134	0.0082761376	-0.0198987445	0.0850527751	0.0074115032	0.0550693479	-0.0661973123	0.000636393	0.0086836429	-0.0356935516	0.0055282422	-0.0225913542	-0.0385571403	-0.0303434802	0.0099504343	-0.0380663591	-0.0637298261	-0.0518299073	-0.0606380893	-0.1016439715	0.1047316694	0.102707623	0.0993631376	0.0947412111	0.002692824684388	-0.0104546966514647	7.251304780849333e-06	0.0001093006820741	0.0417094860531506	0.0139404561513175	0.0001943363177068	0.0017396812268179	0.0279729912497685	-0.0109305795919852	0.0007824882394596	0.0001194775702167	0.0047450211797714	0.0004910086257756	2.251522599647917e-05	2.410894705860432e-07	9.6738153287923e-07	-0.0002480316111188	6.151968011419795e-08	9.358270301557689e-13	0.0001969987989655	0.0001980284239651	3.9215256698110784e-08	3.880852679384949e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4656.516834045242	-21.314252835246407	454.2973739248095	21683149.02574672	3460.1696678777657	-6.961153966299662	11972774.130501328	48.45766454252952	4414.632768986899	-1.828111858459124	3.3419929670388724	19488982.48501293	4315.233936666585	3306.7662294853235	1.049757	18.394789	0.1095468767044292	0.0738135611497827	-0.068947081	-0.0396664657	-0.0229122419	-0.0685008024	-0.0487764027	-0.0440795232	-0.0089813646	0.1173959552	-0.1191048107	0.0140744069	0.022120438	-0.0357906383	0.0280768113	0.1157204237	0.084999984	0.0065381191	0.1549063401	-0.0089449667	0.0724240255	-0.0639262541	0.0795808243	0.0922747972	0.006626405	0.0323590408	-0.0449264623	-0.0327910259	-0.0017383508	-0.1199491027	0.0848754787	0.0834793473	0.0683712956	0.0247736416	0.0902173284	-0.0939059998	0.0228699209	0.0199013456	-0.0346878252	0.0394328553	0.124826837	-0.0634064997	0.1125450929	0.1194677246	-0.0664500555	0.0701134247	-0.0111414042	0.0519844335	0.0748282196	0.0775870925	-0.0174519432	0.0675609396	-0.0324457447	0.0013592348	0.0357252373	0.0854253429	-0.1295643809	-0.0188055212	0.1040044939	0.0366641006	0.0609723785	-0.0291292252	-0.0442851193	0.0046378911	0.0539755813	-0.0736639101	-0.0465945967	0.059255691	0.011526312	0.0707919572	-0.0425157956	0.042445279	0.0402758812	-0.022561716	0.0196387018	0.0700431287	0.0172876277	-0.0457330525	-0.030565957	-0.0048474943	0.0440440639	0.1045074645	0.1018175221	0.0973854535	0.0912870929	-0.0104375953770556	-0.0131304200614436	0.0001089433972551	0.0001724079309899	0.0150474478547835	-0.0266620381983671	0.0007108642808911	0.0002264256869424	0.0323143088568116	0.0043413176070431	0.0010442145568934	1.8847038565222434e-05	0.0060120358108938	0.0012670146311223	3.614457459146947e-05	1.60532607547823e-06	1.2154308219880503e-06	2.480492891088204e-07	6.152844982739118e-14	1.4772720830385477e-12	0.0002379981353055	4.099933633999999e-05	1.6809455803204436e-09	5.6643112408895086e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4653.223324482	-3.293509563241969	10.847205243166304	21652487.30750332	3429.0247692795274	-31.144898598238345	11758210.868332516	970.0047086945486	4420.574996729217	5.9422277423182095	35.31007054157617	19541483.301707517	4324.096570570692	3261.505973690284	0.968972	16.979191	0.0645556133312645	0.0346719765369125	-0.0317242513	-0.0198188072	-0.0284170707	-0.0291689944	0.0128440249	-0.0838433743	0.0298495141	-0.0671619104	-0.0125393077	0.0325469797	0.0652407687	-0.1108455703	-0.023955536	-0.1011880056	0.0093222291	0.1670116635	0.0687502894	-0.0510462936	-0.003178105	0.0080374694	0.2011779298	-0.0737844944	0.0823668406	-0.0772158362	0.0545888992	0.040754829	0.0120335954	0.1553690402	0.0708547778	0.0007699039	-0.1025372444	0.0602563671	0.1241083302	0.0419839855	0.0420164291	-0.022040194	-0.1198470921	0.01485333	-0.0606505177	0.0108363461	-0.0596285953	0.1905762435	0.0656675779	0.0415286537	0.0219833888	-0.0153110783	0.2225081629	-0.1064163207	-0.0560910815	-0.0878855187	-0.0498808602	-0.1026865077	0.0111537314	0.0002130132	0.0273297871	-0.0160720034	0.0774263185	0.0169024263	0.0545994514	-0.014079818	-0.0297428953	0.0247037708	0.0471160782	0.0068325885	-0.0376753117	0.056433798	-0.0256525353	0.0523693549	0.0272173426	-0.0858679468	-0.0354377822	-0.0249566543	0.0953775948	0.0711408978	0.0748195429	0.0322816716	0.0347583718	-0.0715127631	0.12034614	0.1042514257	0.1008033722	0.0951408427	0.0873882332	0.0027680776017859	0.0132056729788414	7.66225360950878e-06	0.0001743897988241	0.0143335846941852	-0.0007138631605982	5.096006120593926e-07	0.0002054516501853	0.0203289875613705	-0.0119853212954411	0.0004132677352703	0.0001436479265549	0.0054510272674777	-0.000561008543416	2.971369827078541e-05	3.147305857858535e-07	2.223749376861761e-06	1.0083185548737108e-06	1.0167063081026086e-12	4.945061291093071e-12	0.0004489963912622	0.0002109982559567	4.452026401676909e-08	2.015977593664786e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4656.216015260894	2.99269077889403	8.956198098077355	21680347.58077204	3466.188055761112	37.16328648158469	12014459.637901	1381.1098621123356	4422.233070483048	1.6580737538315589	2.749208573145077	19556145.32967393	4326.979796045976	3256.4123301820127	0.93199	16.331169	0.0566947221245304	0.034785263031963	-0.0379629875	-0.0145439847	-0.0096319301	-0.0536521397	0.0176792037	0.0180273842	-0.0540657463	-0.0319045052	0.0344025649	0.0369427539	0.1185940184	-0.1137809495	-0.0094560671	-0.0570259189	-0.0098293258	0.0886623043	0.1528339776	0.0173285443	-0.0180137764	-0.0288637042	0.1927986642	0.0317206741	-0.0023108092	0.1372159609	0.0249225987	0.0185841673	-0.0287875899	0.0810307343	-0.0663449465	0.0202583079	0.0334726527	-0.0008353376	0.0252866725	0.0308116087	0.048545771	-0.0673623857	-0.1484258047	0.0074474856	-0.0677066628	-0.0517776935	0.0236984926	0.1269070293	0.093714532	0.0869995414	-0.0308602644	0.0992508779	0.1310709218	-0.0028416303	-0.012328547	0.0072241623	0.1549895454	-0.1318622355	0.0202652415	-0.0313363266	-0.0360125393	-0.0117448618	0.0653532128	0.038123953	0.0428076628	-0.0241638372	-0.0272863903	0.0398298412	0.0270360551	0.010262641	0.0543894491	0.0054326733	0.0167947036	0.0287520332	-0.0372431031	0.0983933075	0.0811103141	-0.0451089396	-0.0793382041	0.0225108744	0.0862374441	-0.0603994954	0.0826704668	0.0221383213	0.0073083551	0.1039636308	0.099666409	0.0926354574	0.0830636267	0.0027709437681409	2.866166354999894e-06	7.678129366198889e-06	8.214909574533378e-12	0.0139092276000667	-0.0004243570941185	1.8007894332869866e-07	0.0001934666124304	-0.0113360886519302	-0.0316650762133007	0.0001285069059244	0.0010026770515941	0.0051460239859978	-0.0003050032814799	2.648156286446469e-05	9.302700171350713e-08	1.1767013219365907e-06	-1.0470480549251704e-06	1.096309629322583e-12	1.3846260010473204e-12	0.0002629982677819	-0.0001859981234802	3.459530193819292e-08	6.916808885628e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
